Circuit Id,Generic Linear 5 Qubit Machine,Armonk,Burlington,Essex,Simulator,London,Ourense,Rome,Vigo,Yorktown
1.0,00:00:00.0040014,N/A,00:00:00.0040014,00:00:00.0040014,00:00:00.0040008,00:00:00.0040014,00:00:00.0040014,00:00:00.0040014,00:00:00.0040014,00:00:00.0040008
1.1,00:00:00.0010007,N/A,00:00:00.0010007,00:00:00.0010007,00:00:00.0010007,00:00:00.0010007,00:00:00.0010007,00:00:00.0010007,00:00:00.0010007,00:00:00.0010007
1.2,00:00:00.0010007,N/A,00:00:00.0010007,00:00:00.0010007,00:00:00.0010007,00:00:00.0010007,00:00:00.0010007,00:00:00.0010007,00:00:00.0010007,00:00:00.0010007
1.3,00:00:00.0010007,N/A,00:00:00.0010007,00:00:00.0010007,00:00:00.0010007,00:00:00.0010007,00:00:00.0010007,00:00:00.0010007,00:00:00.0010007,00:00:00.0010007
1.4,00:00:00.0010008,N/A,00:00:00.0010008,00:00:00.0010008,00:00:00.0010008,00:00:00.0010008,00:00:00.0010008,00:00:00.0010008,00:00:00.0010008,00:00:00.0010008
1.5,00:00:00.0010005,N/A,00:00:00.0010005,00:00:00.0010005,00:00:00.0010005,00:00:00.0010005,00:00:00.0010005,00:00:00.0010005,00:00:00.0010005,00:00:00.0010005
1.6,00:00:00.0010004,N/A,00:00:00.0010004,00:00:00.0010004,00:00:00.0010004,00:00:00.0010004,00:00:00.0010004,00:00:00.0010004,00:00:00.0010004,00:00:00.0010004
1.7,00:00:00.0010005,N/A,00:00:00.0010005,00:00:00.0010005,00:00:00.0010005,00:00:00.0010005,00:00:00.0010005,00:00:00.0010005,00:00:00.0010005,00:00:00.0010005
1.8,00:00:00.0010005,N/A,00:00:00.0010005,00:00:00.0010005,00:00:00.0010005,00:00:00.0010005,00:00:00.0010005,00:00:00.0010005,00:00:00.0010005,00:00:00.0010005
1.9,00:00:00.0010024,N/A,00:00:00.0010030,00:00:00.0010030,00:00:00.0010012,00:00:00.0010030,00:00:00.0010030,00:00:00.0010024,00:00:00.0010030,00:00:00.0010024
1.10,00:00:00.0010016,N/A,00:00:00.0010016,00:00:00.0010016,00:00:00.0010010,00:00:00.0010016,00:00:00.0010016,00:00:00.0010016,00:00:00.0010016,00:00:00.0010010
1.11,00:00:00.0010027,N/A,00:00:00.0010039,00:00:00.0010039,00:00:00.0010009,00:00:00.0010039,00:00:00.0010039,00:00:00.0010027,00:00:00.0010039,00:00:00.0010021
1.12,00:00:00.0000031,N/A,00:00:00.0000031,00:00:00.0000031,00:00:00.0000019,00:00:00.0000031,00:00:00.0000031,00:00:00.0000031,00:00:00.0000031,00:00:00.0000019
1.13,00:00:00.0000055,N/A,00:00:00.0000067,00:00:00.0000067,00:00:00.0000031,00:00:00.0000067,00:00:00.0000067,00:00:00.0000055,00:00:00.0000067,00:00:00.0000043
1.14,00:00:00.0000091,N/A,00:00:00.0000097,00:00:00.0000097,00:00:00.0000043,00:00:00.0000097,00:00:00.0000097,00:00:00.0000091,00:00:00.0000097,00:00:00.0000073
1.16,00:00:00.0010070,N/A,00:00:00.0010106,00:00:00.0010106,00:00:00.0010046,00:00:00.0010106,00:00:00.0010106,00:00:00.0010070,00:00:00.0010106,00:00:00.0010046
1.19,00:00:00.0010043,N/A,00:00:00.0010043,00:00:00.0010043,00:00:00.0010031,00:00:00.0010043,00:00:00.0010043,00:00:00.0010043,00:00:00.0010043,00:00:00.0010031
1.21,00:00:00.0010005,N/A,00:00:00.0010005,00:00:00.0010005,00:00:00.0010005,00:00:00.0010005,00:00:00.0010005,00:00:00.0010005,00:00:00.0010005,00:00:00.0010005
1.22,00:00:00.0150016,N/A,00:00:00.0150016,00:00:00.0150016,00:00:00.0150016,00:00:00.0150016,00:00:00.0150016,00:00:00.0150016,00:00:00.0150016,00:00:00.0150016
1.23,00:00:00.0100010,N/A,00:00:00.0100010,00:00:00.0100010,00:00:00.0100010,00:00:00.0100010,00:00:00.0100010,00:00:00.0100010,00:00:00.0100010,00:00:00.0100010
1.24
