Circuit Id,Generic Linear 5 Qubit Machine,Armonk,Burlington,Essex,Simulator,London,Ourense,Rome,Vigo,Yorktown
1.0,6E-07,N/A,6E-07,6E-07,0,6E-07,6E-07,6E-07,6E-07,0
1.1,-0.001,N/A,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001
1.2,-0.001,N/A,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001
1.3,-0.001,N/A,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001
1.4,-0.001,N/A,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001
1.5,-1E-07,N/A,-1E-07,-1E-07,-1E-07,-1E-07,-1E-07,-1E-07,-1E-07,-1E-07
1.6,0,N/A,0,0,0,0,0,0,0,0
1.7,-1E-07,N/A,-1E-07,-1E-07,-1E-07,-1E-07,-1E-07,-1E-07,-1E-07,-1E-07
1.8,0,N/A,0,0,0,0,0,0,0,0
1.9,-0.001997,N/A,-0.0019988,-0.0019988,-0.0020006,-0.0019988,-0.0019988,-0.001997,-0.0019988,-0.0019988
1.10,-0.0019993,N/A,-0.0019993,-0.0019993,-0.0020005,-0.0019993,-0.0019993,-0.0019993,-0.0019993,-0.0020005
1.11,-0.0029979,N/A,-0.0029973,-0.0029973,-0.0030003,-0.0029973,-0.0029973,-0.0029979,-0.0029973,-0.0029991
1.12,7E-07,N/A,7E-07,7E-07,-5E-07,7E-07,7E-07,7E-07,7E-07,-5E-07
1.13,2.1E-06,N/A,2.1E-06,2.1E-06,-1.5E-06,2.1E-06,2.1E-06,2.1E-06,2.1E-06,3E-07
1.14,1.6E-06,N/A,2.2E-06,2.2E-06,-3.2E-06,2.2E-06,2.2E-06,1.6E-06,2.2E-06,-2E-07
1.15,2.2E-06,N/A,2.2E-06,2.2E-06,-2E-06,2.2E-06,2.2E-06,2.2E-06,2.2E-06,-2E-06
1.16,-0.0039985,N/A,-0.0039979,-0.0039979,-0.0040009,-0.0039979,-0.0039979,-0.0039985,-0.0039979,-0.0040009
1.17,-0.00199,N/A,-0.00199,-0.00199,-0.0020038,-0.00199,-0.00199,-0.00199,-0.00199,-0.0020038
1.18,N/A,N/A,N/A,N/A,-0.004003,N/A,N/A,N/A,N/A,N/A
1.19,-0.0009995,N/A,-0.0009995,-0.0009995,-0.0010007,-0.0009995,-0.0009995,-0.0009995,-0.0009995,-0.0010007
1.20,N/A,N/A,N/A,N/A,-0.0080097,N/A,N/A,N/A,N/A,N/A
1.21,-1E-07,N/A,-1E-07,-1E-07,-1E-07,-1E-07,-1E-07,-1E-07,-1E-07,-1E-07
1.22,0,N/A,0,0,0,0,0,0,0,0
1.23,0,N/A,0,0,0,0,0,0,0,0
1.24,-4E-07,N/A,-4E-07,-4E-07,-4E-07,-4E-07,-4E-07,-4E-07,-4E-07,-4E-07
1.25,-0.0010002,N/A,-0.0010002,-0.0010002,-0.0010002,-0.0010002,-0.0010002,-0.0010002,-0.0010002,-0.0010002
1.26,-0.002996,N/A,-0.0029972,-0.0029972,-0.0030014,-0.0029972,-0.0029972,-0.002996,-0.0029972,-0.002999
1.27,5.4E-06,N/A,3.6E-06,3.6E-06,0,3.6E-06,3.6E-06,5.4E-06,3.6E-06,1.8E-06
1.28,1.1E-06,N/A,1.1E-06,1.1E-06,-1E-07,1.1E-06,1.1E-06,1.1E-06,1.1E-06,-1E-07
1.29,3.1E-06,N/A,1.3E-06,1.3E-06,-4.1E-06,1.3E-06,1.3E-06,3.1E-06,1.3E-06,-5E-07
1.30,-2.5E-06,N/A,-1E-07,-1E-07,-6.7E-06,-1E-07,-1E-07,-2.5E-06,-1E-07,-6.7E-06
1.31,1.4E-06,N/A,2E-06,2E-06,-1.6E-06,2E-06,2E-06,1.4E-06,2E-06,2E-07
1.32,0,0,0,0,0,0,0,0,0,0
1.33,-1E-07,N/A,-1E-07,-1E-07,-1E-07,-1E-07,-1E-07,-1E-07,-1E-07,-1E-07
1.34,0,N/A,0,0,0,0,0,0,0,0
1.35,-0.001,N/A,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001
1.36,-0.0019988,N/A,-0.0019988,-0.0019988,-0.0020006,-0.0019988,-0.0019988,-0.0019988,-0.0019988,-0.0020006
1.37,-0.001999,N/A,-0.001999,-0.001999,-0.0020002,-0.001999,-0.001999,-0.001999,-0.001999,-0.0020002
1.38,N/A,N/A,N/A,N/A,-0.0080265,N/A,N/A,N/A,N/A,N/A
