"Operation Index","Operation Name","Latency","Priority"
0,"u3 (A59A6E)","00:00:00.0010000","14"
1,"u3 (1D26DE6)","00:00:00.0010000","10"
2,"cx (65DD1A)","00:00:00.0020000","13"
3,"u3 (394C5EA)","00:00:00.0010000","11"
4,"u3 (3AF541)","00:00:00.0010000","10"
5,"cx (2129F4F)","00:00:00.0020000","9"
6,"u3 (2A799CD)","00:00:00.0010000","7"
7,"u3 (3E4683D)","00:00:00.0010000","6"
8,"u3 (307AA26)","00:00:00.0010000","6"
9,"cx (344FB5B)","00:00:00.0020000","5"
10,"measurement (16CD633)","00:00:00.0030000","3"
11,"measurement (D387D1)","00:00:00.0030000","3"
12,"measurement (36FC65D)","00:00:00.0030000","3"
