"Operation Index","Operation Name","Latency","Priority"
0,"u3 (8CD708)","00:00:00.0010000","30"
1,"u3 (F38F48)","00:00:00.0010000","29"
2,"u3 (90098A)","00:00:00.0010000","29"
3,"u3 (11055E0)","00:00:00.0010000","26"
4,"u3 (19304E1)","00:00:00.0010000","29"
5,"cx (22B2BF0)","00:00:00.0020000","28"
6,"u3 (3848B75)","00:00:00.0010000","26"
7,"cx (3A8E721)","00:00:00.0020000","25"
8,"u3 (F0202D)","00:00:00.0010000","23"
9,"cx (71219A)","00:00:00.0020000","22"
10,"u3 (3FA2E72)","00:00:00.0010000","20"
11,"cx (3CBA204)","00:00:00.0020000","19"
12,"u3 (228B22B)","00:00:00.0010000","2"
13,"u3 (36E4387)","00:00:00.0010000","18"
14,"u3 (2E05FC1)","00:00:00.0010000","1"
15,"cx (1E35DCA)","00:00:00.0020000","17"
16,"u3 (FE4C1B)","00:00:00.0010000","15"
17,"cx (F0ACF5)","00:00:00.0020000","14"
18,"u3 (7614A1)","00:00:00.0010000","12"
19,"u3 (26B9B1)","00:00:00.0010000","11"
20,"u3 (15C873D)","00:00:00.0010000","11"
21,"u3 (40C125)","00:00:00.0010000","10"
22,"u3 (246CA54)","00:00:00.0010000","10"
23,"u3 (7D1CFA)","00:00:00.0010000","9"
24,"u3 (6604D0)","00:00:00.0010000","9"
25,"cx (3962B58)","00:00:00.0020000","8"
26,"u3 (478619)","00:00:00.0010000","6"
27,"u3 (283B6E6)","00:00:00.0010000","5"
28,"u3 (2A16E16)","00:00:00.0010000","5"
29,"u3 (3ACDECC)","00:00:00.0010000","4"
30,"u3 (113D530)","00:00:00.0010000","4"
31,"measurement (1B27EB3)","00:00:00.0030000","3"
32,"measurement (346744E)","00:00:00.0030000","3"
